line	type	notes
15666	verse	"GEN 39:20: Verse should read: Then Joseph’s master took him and put him in the round-house, the place where the prisoners of the king were bound. 
 So he was there in the round-house,"
16418	verse	GEN 41:22: Verse should read: “Then I saw in my dream, and behold, seven heads of grain came up on one stalk, full and good.
16430	verse	GEN 41:23: Verse should read: Then behold, seven heads of grain, withered, thin {and} scorched {by} the east wind sprouted after them.
16435	glQuote	"Gen 41:23: GL Quote not found: ""seven heads of grain, withered, thin {and} scorched by the east wind"" not in ""Then behold, seven heads of grain, withered, thin {and} scorched {by} the east wind sprouted after them."""
16570	verse	GEN 41:33: Verse should read: “And now let Pharaoh seek a man {who is} discerning and wise, and set him over the land of Egypt.
17252	verse	GEN 42:16: Verse should read: Send one of you, and let him bring your brother, and you will be bound. Then your words will be tested {as to whether} the truth {is} in you. And if not, {by} the life of Pharaoh surely you {are} spies!”
17272	glQuote	"Gen 42:16: GL Quote not found: ""{by} the life of Pharaoh,"" not in ""Send one of you, and let him bring your brother, and you will be bound. Then your words will be tested {as to whether} the truth {is} in you. And if not, {by} the life of Pharaoh surely you {are} spies!”"""
17567	verse	GEN 42:34: Verse should read: Then bring your youngest brother to me, so that I will know that you {are} not spies, that you {are} honest. {Then} I will give your brother to you, and you {can} trade {in} the land.’ ”
18826	verse	GEN 45:1: Verse should read: Then Joseph was not able to control himself before all who were standing by him, and he called out, “Have every man leave from beside me!” So no man stood with him when Joseph revealed himself to his brothers.
18991	verse	GEN 45:9: Verse should read: “Hurry and go up to my father and say to him, ‘This {is what} your son Joseph says, “God has made me lord over all Egypt. Come down to me, do not delay.
19026	glQuote	"Gen 45:10: GL Quote not found: ""—you, and your children"" not in ""And you will live in the land of Goshen so that you will be near to me—you, and your children and your children’s children, and your flocks and your herds and all that {belongs} to you."""
19039	verse	GEN 45:11: Verse should read: And I will provide for you there, because {there are} still five years of famine, so that you will not become impoverished, you and your household and all that {belongs} to you.’ ”
19050	glQuote	"Gen 45:11: GL Quote not found: ""you will not become impoverished, you and your household and all that {belongs} to you.” ’"" not in ""And I will provide for you there, because {there are} still five years of famine, so that you will not become impoverished, you and your household and all that {belongs} to you.’ ”"""
19160	verse	GEN 45:19: Verse should read: “And you are commanded, ‘Do this: Take carts with you from the land of Egypt for your little ones and for your wives, and get your father and come.
19388	verse	GEN 46:5: Verse should read: Then Jacob got up from Beersheba, and the sons of Israel carried Jacob their father and their little {ones} and their wives in the carts that Pharaoh had sent to carry him.
19396	glQuote	"Gen 46:5: GL Quote not found: ""and their little ones and their wives"" not in ""Then Jacob got up from Beersheba, and the sons of Israel carried Jacob their father and their little {ones} and their wives in the carts that Pharaoh had sent to carry him."""
19412	verse	GEN 46:6: Verse should read: And they took their livestock and their possessions that they had acquired in the land of Canaan. Then they came to Egypt, Jacob and all of his offspring with him,
19464	glQuote	"Gen 46:10: GL Quote not found: ""Jemuel and Jamin and Ohad and Jakin and Zohar,"" not in ""And the sons of Simeon {were} Jemuel and Jamin and Ohad and Jakin and Zohar and Shaul, the son of a Canaanite woman."""
19471	verse	GEN 46:11: Verse should read: And the sons of Levi {were} Gershon, Kohath and Merari.
19473	glQuote	"Gen 46:11: GL Quote not found: ""And the sons of Levi {were} Gershon, Kohath, and Merari."" not in ""And the sons of Levi {were} Gershon, Kohath and Merari."""
19544	glQuote	"Gen 46:17: GL Quote not found: ""Imnah and Ishvah and Ishvi and Beriah,"" not in ""And the sons of Asher {were} Imnah and Ishvah and Ishvi and Beriah and Serah their sister. And the sons of Beriah {were} Heber and Malkiel."""
19739	verse	GEN 46:32: Verse should read: And the men {are} herders of sheep, for they are livestock men, and they have brought their flocks and their herds and everything that {belongs} to them.’
20052	glQuote	"Gen 47:17: GL Quote not found: ""and Joseph gave bread to them {in exchange} for the horses, and for the herd{s} of sheep, and for the herd{s} of cattle and for the donkeys."" not in ""So they brought their livestock to Joseph, and Joseph gave bread to them {in exchange} for the horses and for the herd{s} of sheep and for the herd{s} of cattle and for the donkeys. So he provided them with bread in that year {in exchange} for all their livestock."""
20161	verse	GEN 47:23: Verse should read: Then Joseph said to the people, “Behold, today I have bought you and your land for Pharaoh. Here {is} seed for you so that you can sow the land.
